OBJECTID,TOID,ROADLABEL,DESCTERM,NATURE,TLRN_DATE,LAST_EDIT_DATE,Shape__Length
774481,4000000030318905,Bilton Way,Unclassified,Slip Road,19/04/2017,2022/01/21 15:31:46+00,50.2688953583838
774482,4000000030458584,Lewisham High Street,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,10.6212327846663
774483,4000000030326363,Western Avenue,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,53.4396624132872
774484,4000000031142155,High Street Collier's Wood,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,8.65626206986037
774485,4000000030398682,Colnbrook By- Pass,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,34.1110319401438
774486,4000000030426174,Homerton High Street,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,17.374557501445
774487,5000005126357022,Hanger Lane,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:47+00,29.4349476990753
774488,4000000030131581,Faggs Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,121.082572238794
774489,4000000030235815,Battersea Park Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,113.840629304957
774490,4000000030239612,King's Cross Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,108.455638603061
774491,4000000030154891,Great Cambridge Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,108.018516936173
774492,5000005109130801,East India Dock Road Tunnel,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,28.8232197009133
774493,5000005175510923,Tottenham Court Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,5.97679964172813
774494,4000000030407053,Warwick Gardens,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,19.2353840620602
774495,4000000031002656,Old Street,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,22.8981341261764
774496,4000000030157062,Woodford Avenue,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,116.932326295713
774497,4000000030417390,Sangley Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,20.3496168295453
