from_node_id,to_node_id,Weight
n1,n2,3.597363961272114e-05
n2,n1,3.597363961272114e-05
n2,n3,5.2880798335494034e-05
n3,n2,5.2880798335494034e-05
n3,n4,5.288082031223457e-05
n4,n3,5.288082031223457e-05
n4,n5,6.192788746643231e-05
n5,n4,6.192788746643231e-05
n5,n6,7.739822165316301e-05
n6,n5,7.739822165316301e-05
n6,n7,3.361512051451249e-05
n7,n6,3.361512051451249e-05
n7,n8,0.6403901697393471
n8,n7,0.6403901697393471
n8,n9,5.708607093128983e-05
n9,n8,5.708607093128983e-05
n9,n10,0.00023972067428925208
n10,n9,0.00023972067428925208
n10,n11,0.0009649521055715848
n11,n10,0.0009649521055715848
n11,n12,0.12281984525890371
n12,n11,0.12281984525890371
n12,n13,0.0002659355775422795
n13,n12,0.0002659355775422795
n13,n14,0.001233053594998681
n14,n13,0.001233053594998681
n14,n15,0.00033262227863930003
n15,n14,0.00033262227863930003
n15,n16,0.0013067198859573023
n16,n15,0.0013067198859573023
n16,n17,0.00023357084688910534
n17,n16,0.00023357084688910534
n17,n18,0.34023506063113756
n18,n17,0.34023506063113756
n18,n19,0.0010823690458738623
n19,n18,0.0010823690458738623
n19,n20,0.0008462251286555734
n20,n19,0.0008462251286555734
n20,n21,0.00015649437461256636
n21,n20,0.00015649437461256636
n21,n22,0.0008540216467028337
n22,n21,0.0008540216467028337
n22,n23,0.0006581254172678449
n23,n22,0.0006581254172678449
n23,n24,0.0013227246893403183
n24,n23,0.0013227246893403183
n24,n25,0.00028707109116330587
n25,n24,0.00028707109116330587
n25,n26,0.00021632047270972752
n26,n25,0.00021632047270972752
n26,n27,0.00012529260229404064
n27,n26,0.00012529260229404064
n27,n28,0.00022923644586370906
n28,n27,0.00022923644586370906
n28,n29,0.00030305534110812156
n29,n28,0.00030305534110812156
n29,n30,0.0004506380758979903
n30,n29,0.0004506380758979903
n30,n31,0.00038236245443954385
n31,n30,0.00038236245443954385
n31,n32,8.140583761441351e-05
n32,n31,8.140583761441351e-05
n32,n33,0.0009804336842166917
n33,n32,0.0009804336842166917
n33,n34,0.0006405713458454475
n34,n33,0.0006405713458454475
n34,n35,0.00013078366391975298
n35,n34,0.00013078366391975298
n35,n36,0.00023312718951005545
n36,n35,0.00023312718951005545
n36,n37,0.00022612730387912736
n37,n36,0.00022612730387912736
n37,n38,0.00023967436447246439
n38,n37,0.00023967436447246439
n38,n39,9.680594178539044e-05
n39,n38,9.680594178539044e-05
n39,n40,0.0001373552495764329
n40,n39,0.0001373552495764329
n40,n41,0.0001309210771652172
n41,n40,0.0001309210771652172
n41,n42,5.090436890840203e-05
n42,n41,5.090436890840203e-05
n42,n43,6.311275151825059e-05
n43,n42,6.311275151825059e-05
n43,n44,0.17130115266473667
n44,n43,0.17130115266473667
n44,n45,0.0002504532958494706
n45,n44,0.0002504532958494706
n45,n46,0.16096819770973697
n46,n45,0.16096819770973697
n46,n47,0.00020476239793009037
n47,n46,0.00020476239793009037
n47,n48,0.00022663095981214268
n48,n47,0.00022663095981214268
n48,n49,0.06159652267283185
n49,n48,0.06159652267283185
n49,n50,8.523901589497281e-05
n50,n49,8.523901589497281e-05
n50,n51,2.932349802158039e-05
n51,n50,2.932349802158039e-05
n51,n52,4.8872486710456344e-05
n52,n51,4.8872486710456344e-05
n52,n53,0.03541108815208155
n53,n52,0.03541108815208155
n53,n54,5.723661242986403e-05
n54,n53,5.723661242986403e-05
n54,n55,8.25310936247143e-06
n55,n54,8.25310936247143e-06
n55,n56,6.455862207344805e-05
n56,n55,6.455862207344805e-05
n56,n57,1.489629150234463e-05
n57,n56,1.489629150234463e-05
n57,n58,3.534397823131725e-05
n58,n57,3.534397823131725e-05
n58,n59,0.13804981384382126
n59,n58,0.13804981384382126
n59,n60,0.0009599363106663314
n60,n59,0.0009599363106663314
n60,n61,0.0003555971039099165
n61,n60,0.0003555971039099165
n61,n62,0.00014367703025359505
n62,n61,0.00014367703025359505
n62,n63,0.07855357810970817
n63,n62,0.07855357810970817
n63,n64,5.8619004692922885e-05
n64,n63,5.8619004692922885e-05
n64,n65,9.868430783714667e-07
n65,n64,9.868430783714667e-07
n65,n66,6.366392119909784e-05
n66,n65,6.366392119909784e-05
n66,n67,9.619283491776262e-06
n67,n66,9.619283491776262e-06
n67,n68,5.016164613035909e-05
n68,n67,5.016164613035909e-05
n68,n69,0.058004317049702936
n69,n68,0.058004317049702936
n69,n70,0.00013261162512792667
n70,n69,0.00013261162512792667
n70,n71,0.0014552459906992446
n71,n70,0.0014552459906992446
n71,n72,0.00016232164593873107
n72,n71,0.00016232164593873107
n72,n73,0.19148919929012823
n73,n72,0.19148919929012823
n73,n74,8.025412628814708e-05
n74,n73,8.025412628814708e-05
n74,n75,0.00023570478479441656
n75,n74,0.00023570478479441656
n75,n76,0.0008658932601658434
n76,n75,0.0008658932601658434
n76,n77,0.16409448195389442
n77,n76,0.16409448195389442
n77,n78,0.0007209419556238254
n78,n77,0.0007209419556238254
n78,n79,0.000582368799161873
n79,n78,0.000582368799161873
n79,n80,0.0004944672278298385
n80,n79,0.0004944672278298385
n80,n81,0.00035241093748386717
n81,n80,0.00035241093748386717
n81,n82,0.000524893417295122
n82,n81,0.000524893417295122
n82,n83,0.0006283686050670406
n83,n82,0.0006283686050670406
n83,n84,0.00036697418507268564
n84,n83,0.00036697418507268564
n84,n85,0.0004716942982258487
n85,n84,0.0004716942982258487
n85,n86,0.00044964633198491796
n86,n85,0.00044964633198491796
n86,n87,0.0003280323566926495
n87,n86,0.0003280323566926495
n87,n88,0.0005282174998227384
n88,n87,0.0005282174998227384
n88,n89,0.00037361683014270936
n89,n88,0.00037361683014270936
n89,n90,0.001069890537160957
n90,n89,0.001069890537160957
n90,n91,0.0008332836158610558
n91,n90,0.0008332836158610558
n91,n92,0.000870609606624172
n92,n91,0.000870609606624172
n92,n93,0.0015157660834093447
n93,n92,0.0015157660834093447
n93,n94,0.001839542915463382
n94,n93,0.001839542915463382
n94,n95,0.0010147408107912656
n95,n94,0.0010147408107912656
n95,n96,0.0006317288261611405
n96,n95,0.0006317288261611405
n96,n97,0.0009891131611772237
n97,n96,0.0009891131611772237
n97,n98,0.0008118616202534456
n98,n97,0.0008118616202534456
n98,n99,0.0003047222807810975
n99,n98,0.0003047222807810975
n99,n100,0.0009395521701678687
n100,n99,0.0009395521701678687
n100,n101,0.0006316809391477006
n101,n100,0.0006316809391477006
n101,n102,0.00038952118470348345
n102,n101,0.00038952118470348345
n102,n103,0.0005617949458163908
n103,n102,0.0005617949458163908
n103,n104,0.00022776459837483485
n104,n103,0.00022776459837483485
n104,n105,0.0007326103853840484
n105,n104,0.0007326103853840484
n105,n106,0.0006274197515409312
n106,n105,0.0006274197515409312
n106,n107,0.2799715088006331
n107,n106,0.2799715088006331
n107,n108,6.0655534215531425e-05
n108,n107,6.0655534215531425e-05
n108,n109,1.4373626791057607e-05
n109,n108,1.4373626791057607e-05
n109,n110,3.03277807416097e-05
n110,n109,3.03277807416097e-05
n110,n111,5.7494515604474645e-05
n111,n110,5.7494515604474645e-05
n111,n112,0.3257761839867746
n112,n111,0.3257761839867746
n112,n113,5.688119692433663e-05
n113,n112,5.688119692433663e-05
n113,n114,6.411408481665648e-05
n114,n113,6.411408481665648e-05
n114,n115,0.000143301182404211
n115,n114,0.000143301182404211
n115,n116,0.00017884848910238574
n116,n115,0.00017884848910238574
n116,n117,5.7401580320871694e-05
n117,n116,5.7401580320871694e-05
n117,n118,0.00011480316946114617
n118,n117,0.00011480316946114617
n118,n119,0.00010060157563888963
n119,n118,0.00010060157563888963
n119,n120,0.000388800027083151
n120,n119,0.000388800027083151
n120,n121,1.4350420072636975e-05
n121,n120,1.4350420072636975e-05
n121,n122,0.000777602276985933
n122,n121,0.000777602276985933
n122,n123,0.000560633172907271
n123,n122,0.000560633172907271
n123,n124,0.00011500149061583422
n124,n123,0.00011500149061583422
n124,n125,0.0009923372023235028
n125,n124,0.0009923372023235028
n125,n126,0.0004310054701863929
n126,n125,0.0004310054701863929
n126,n127,0.00033004608668659867
n127,n126,0.00033004608668659867
n127,n128,0.00023948276779753923
n128,n127,0.00023948276779753923
n128,n129,8.069739301983802e-06
n129,n128,8.069739301983802e-06
n129,n130,0.34380938574166814
n130,n129,0.34380938574166814
n130,n131,5.1157770496177526e-05
n131,n130,5.1157770496177526e-05
n131,n132,0.00016578682562104748
n132,n131,0.00016578682562104748
n132,n133,0.06445444251386416
n133,n132,0.06445444251386416
n133,n134,3.026498548310857e-05
n134,n133,3.026498548310857e-05
n134,n135,3.0264990925121564e-05
n135,n134,3.0264990925121564e-05
n135,n136,3.204205877880319e-05
n136,n135,3.204205877880319e-05
n136,n137,3.5671981059784807e-05
n137,n136,3.5671981059784807e-05
n137,n138,4.639936225826785e-05
n138,n137,4.639936225826785e-05
n138,n139,0.10951179645163725
n139,n138,0.10951179645163725
n139,n140,0.0002896959931619986
n140,n139,0.0002896959931619986
n140,n141,0.00010576822210865003
n141,n140,0.00010576822210865003
n141,n142,6.940620682936725e-05
n142,n141,6.940620682936725e-05
n142,n143,0.11694004618022662
n143,n142,0.11694004618022662
n143,n144,0.0001592208363292082
n144,n143,0.0001592208363292082
n144,n145,0.0005439849158715551
n145,n144,0.0005439849158715551
n145,n146,0.23730722599443946
n146,n145,0.23730722599443946
n146,n147,4.510211704254362e-05
n147,n146,4.510211704254362e-05
n147,n148,4.722008840275664e-06
n148,n147,4.722008840275664e-06
n148,n149,0.00010231593145041249
n149,n148,0.00010231593145041249
n149,n150,2.532999815692012e-06
n150,n149,2.532999815692012e-06
n150,n151,6.738405235522246e-05
n151,n150,6.738405235522246e-05
n151,n152,0.21341180277920171
n152,n151,0.21341180277920171
n152,n153,0.00010731408625738314
n153,n152,0.00010731408625738314
n153,n154,0.0486889856685744
n154,n153,0.0486889856685744
n154,n155,0.00012243497631756365
n155,n154,0.00012243497631756365
n155,n156,0.0003396749194663547
n156,n155,0.0003396749194663547
n156,n157,0.0006007560358682563
n157,n156,0.0006007560358682563
n157,n158,0.0004569968435382751
n158,n157,0.0004569968435382751
n158,n159,0.00035380419672382185
n159,n158,0.00035380419672382185
n159,n160,0.0006514628149606713
n160,n159,0.0006514628149606713
n160,n161,0.000653337615280789
n161,n160,0.000653337615280789
n161,n162,0.000483391882057417
n162,n161,0.000483391882057417
n162,n163,0.20219582392277857
n163,n162,0.20219582392277857
n163,n164,0.00013913738911773283
n164,n163,0.00013913738911773283
n164,n165,0.0001729832283932221
n165,n164,0.0001729832283932221
n165,n166,0.0001778288905960407
n166,n165,0.0001778288905960407
n166,n167,0.15007718812831924
n167,n166,0.15007718812831924
n167,n168,1.2276513780895623e-05
n168,n167,1.2276513780895623e-05
n168,n169,2.4549395070681246e-05
n169,n168,2.4549395070681246e-05
n169,n170,0.1890031707061493
n170,n169,0.1890031707061493
n170,n171,0.0006066903820297256
n171,n170,0.0006066903820297256
n171,n172,0.0004603074524351679
n172,n171,0.0004603074524351679
n172,n173,0.00025440962148374515
n173,n172,0.00025440962148374515
n173,n174,0.0003022489171512284
n174,n173,0.0003022489171512284
n174,n175,0.002392311247028971
n175,n174,0.002392311247028971
n175,n176,0.0010961783133089675
n176,n175,0.0010961783133089675
n176,n177,0.27949376411134
n177,n176,0.27949376411134
n177,n178,0.0015666613332252794
n178,n177,0.0015666613332252794
n178,n179,0.3545174320050398
n179,n178,0.3545174320050398
n179,n180,0.00022815970308003752
n180,n179,0.00022815970308003752
n180,n181,5.283213478136544e-05
n181,n180,5.283213478136544e-05
n181,n182,0.0002949394489829991
n182,n181,0.0002949394489829991
n182,n183,0.00028605926414700155
n183,n182,0.00028605926414700155
n183,n184,0.00036220016206192727
n184,n183,0.00036220016206192727
n184,n185,0.00011251404852849325
n185,n184,0.00011251404852849325
n185,n186,3.0502496310898345e-05
n186,n185,3.0502496310898345e-05
n186,n187,7.992118769480829e-05
n187,n186,7.992118769480829e-05
n187,n188,0.00039960718463139834
n188,n187,0.00039960718463139834
n188,n189,0.00023899914861311646
n189,n188,0.00023899914861311646
n189,n190,0.00023899991701430606
n190,n189,0.00023899991701430606
n190,n191,0.00026171269243188407
n191,n190,0.00026171269243188407
n191,n192,0.072287049451231
n192,n191,0.072287049451231
n192,n193,7.029853013599284e-05
n193,n192,7.029853013599284e-05
n193,n194,6.630481209566763e-05
n194,n193,6.630481209566763e-05
n194,n195,6.340702314882129e-05
n195,n194,6.340702314882129e-05
n195,n196,7.192466186985848e-05
n196,n195,7.192466186985848e-05
n196,n197,0.18837462826271925
n197,n196,0.18837462826271925
n197,n198,0.00042754564330659564
n198,n197,0.00042754564330659564
n198,n199,0.00018007629259416568
n199,n198,0.00018007629259416568
n199,n200,0.00103554461091718
n200,n199,0.00103554461091718
n200,n201,0.07261043500357103
n201,n200,0.07261043500357103
n201,n202,3.131490881211446e-05
n202,n201,3.131490881211446e-05
n202,n203,1.0659132406825378e-05
n203,n202,1.0659132406825378e-05
n203,n204,0.000286774196940467
n204,n203,0.000286774196940467
n204,n205,0.00030327412650305453
n205,n204,0.00030327412650305453
n205,n206,0.1374868308772233
n206,n205,0.1374868308772233
n206,n207,2.2753680778654858e-05
n207,n206,2.2753680778654858e-05
n207,n208,8.424643631254021e-05
n208,n207,8.424643631254021e-05
n208,n209,0.0002173593297089612
n209,n208,0.0002173593297089612
n209,n210,5.552034170296406e-05
n210,n209,5.552034170296406e-05
n210,n211,0.22598268138859995
n211,n210,0.22598268138859995
n211,n212,0.00020427892524979698
n212,n211,0.00020427892524979698
n212,n213,0.00021860438942912912
n213,n212,0.00021860438942912912
n213,n214,6.240880419410901e-05
n214,n213,6.240880419410901e-05
n214,n215,3.8472015470569447e-05
n215,n214,3.8472015470569447e-05
n215,n216,8.332149673328848e-05
n216,n215,8.332149673328848e-05
n216,n217,0.1682713451396011
n217,n216,0.1682713451396011
n217,n218,0.0001629849952306851
n218,n217,0.0001629849952306851
n218,n219,1.5424237014066653e-06
n219,n218,1.5424237014066653e-06
n219,n220,4.469732124425572e-05
n220,n219,4.469732124425572e-05
n220,n221,8.958086905502516e-05
n221,n220,8.958086905502516e-05
n221,n222,5.9720624583399436e-05
n222,n221,5.9720624583399436e-05
n222,n223,5.642135913821226e-05
n223,n222,5.642135913821226e-05
n223,n224,5.406981892079915e-05
n224,n223,5.406981892079915e-05
n224,n225,6.633612580334423e-05
n225,n224,6.633612580334423e-05
n225,n226,0.12020152061047293
n226,n225,0.12020152061047293
n226,n227,8.974044803459805e-05
n227,n226,8.974044803459805e-05
n227,n228,0.0002893713476676446
n228,n227,0.0002893713476676446
n228,n229,0.00014892291357762483
n229,n228,0.00014892291357762483
n229,n230,3.088945732715447e-05
n230,n229,3.088945732715447e-05
n230,n231,6.423514536519865e-05
n231,n230,6.423514536519865e-05
n231,n232,0.10575245064985032
n232,n231,0.10575245064985032
n232,n233,7.048276881072389e-05
n233,n232,7.048276881072389e-05
n233,n234,5.545027739901344e-05
n234,n233,5.545027739901344e-05
n234,n235,4.932358494875521e-05
n235,n234,4.932358494875521e-05
n235,n236,1.627814431853283e-05
n236,n235,1.627814431853283e-05
n236,n237,4.536294491713533e-05
n237,n236,4.536294491713533e-05
n237,n238,0.02508883701093076
n238,n237,0.02508883701093076
n238,n239,0.0009819889893074724
n239,n238,0.0009819889893074724
n239,n240,0.0008653113312628218
n240,n239,0.0008653113312628218
n240,n241,0.0003536085650757087
n241,n240,0.0003536085650757087
n241,n242,0.09567990308789802
n242,n241,0.09567990308789802
n242,n243,0.0003327197578383617
n243,n242,0.0003327197578383617
n243,n244,0.00024197759392967675
n244,n243,0.00024197759392967675
n244,n245,0.0007176002133292501
n245,n244,0.0007176002133292501
n245,n246,5.958260158477834e-05
n246,n245,5.958260158477834e-05
n246,n247,0.0002153657144931253
n247,n246,0.0002153657144931253
n247,n248,9.235759830353128e-07
n248,n247,9.235759830353128e-07
n248,n249,0.2766585312556775
n249,n248,0.2766585312556775
n249,n250,0.0003702290021636589
n250,n249,0.0003702290021636589
n250,n251,0.37762673580632933
n251,n250,0.37762673580632933
n251,n252,0.0002496806252555644
n252,n251,0.0002496806252555644
n252,n253,8.051675047142212e-05
n253,n252,8.051675047142212e-05
n253,n254,0.00012663349764295708
n254,n253,0.00012663349764295708
n254,n255,7.338764790930084e-05
n255,n254,7.338764790930084e-05
n255,n256,6.959967678178248e-05
n256,n255,6.959967678178248e-05
n256,n257,8.705595770096053e-06
n257,n256,8.705595770096053e-06
n257,n258,5.034759762077647e-05
n258,n257,5.034759762077647e-05
n258,n259,0.3928302458687222
n259,n258,0.3928302458687222
n259,n260,0.0004893833170714119
n260,n259,0.0004893833170714119
n260,n261,0.19200236845911234
n261,n260,0.19200236845911234
n261,n262,0.00010697231921439513
n262,n261,0.00010697231921439513
n262,n263,0.00013194075826429298
n263,n262,0.00013194075826429298
n263,n264,0.20624623813197582
n264,n263,0.20624623813197582
n264,n265,4.507404614123528e-05
n265,n264,4.507404614123528e-05
n265,n266,6.588604320119074e-05
n266,n265,6.588604320119074e-05
n266,n267,4.759885245092145e-05
n267,n266,4.759885245092145e-05
n267,n268,3.285984137319076e-05
n268,n267,3.285984137319076e-05
n268,n269,3.588458045806578e-05
n269,n268,3.588458045806578e-05
n269,n270,5.1558275584126594e-05
n270,n269,5.1558275584126594e-05
n270,n271,8.13646528222611e-05
n271,n270,8.13646528222611e-05
n271,n272,7.468591925308371e-05
n272,n271,7.468591925308371e-05
n272,n273,0.0004082284254809119
n273,n272,0.0004082284254809119
n273,n274,0.0002314535488691974
n274,n273,0.0002314535488691974
n274,n275,0.00023392586489977887
n275,n274,0.00023392586489977887
n275,n276,0.22219775166186753
n276,n275,0.22219775166186753
n276,n277,0.0007162068422534663
n277,n276,0.0007162068422534663
n277,n278,0.016391768261775994
n278,n277,0.016391768261775994
n278,n279,0.0005449637616979764
n279,n278,0.0005449637616979764
n279,n280,0.062113336547691606
n280,n279,0.062113336547691606
n280,n281,5.1699127749535526e-05
n281,n280,5.1699127749535526e-05
n281,n282,1.1979607329368664e-05
n282,n281,1.1979607329368664e-05
n282,n283,7.647418805846636e-05
n283,n282,7.647418805846636e-05
n283,n284,1.372082379006893e-05
n284,n283,1.372082379006893e-05
n284,n285,6.661465055659751e-05
n285,n284,6.661465055659751e-05
n285,n286,0.033627524718846134
n286,n285,0.033627524718846134
n286,n287,8.579225496743822e-05
n287,n286,8.579225496743822e-05
n287,n288,0.00010726288731034682
n288,n287,0.00010726288731034682
n288,n289,2.6180422828383943e-05
n289,n288,2.6180422828383943e-05
n289,n290,0.011924545391036098
n290,n289,0.011924545391036098
n290,n291,0.0001032324250851732
n291,n290,0.0001032324250851732
n291,n292,0.003932659804911702
n292,n291,0.003932659804911702
n292,n293,5.194557813566337e-05
n293,n292,5.194557813566337e-05
n293,n294,1.5195875925352275e-06
n294,n293,1.5195875925352275e-06
n294,n295,0.00011363394638154667
n295,n294,0.00011363394638154667
n295,n296,4.820787456530292e-05
n296,n295,4.820787456530292e-05
n296,n297,8.172622602123231e-05
n297,n296,8.172622602123231e-05
n297,n298,0.2713004137621048
n298,n297,0.2713004137621048
n298,n299,0.0001526712180783443
n299,n298,0.0001526712180783443
n299,n300,0.00015267096553190068
n300,n299,0.00015267096553190068
n300,n301,0.000244725382620413
n301,n300,0.000244725382620413
n301,n302,0.0009602559512782122
n302,n301,0.0009602559512782122
n302,n303,0.0003414203773601819
n303,n302,0.0003414203773601819
n303,n304,8.369723619926809e-05
n304,n303,8.369723619926809e-05
n304,n305,0.00011452935385094524
n305,n304,0.00011452935385094524
n305,n306,0.13821688479422412
n306,n305,0.13821688479422412
n306,n307,7.376607347997738e-05
n307,n306,7.376607347997738e-05
n307,n308,9.309613730047717e-05
n308,n307,9.309613730047717e-05
n308,n309,0.1566225299391647
n309,n308,0.1566225299391647
n309,n310,0.00012751939737712313
n310,n309,0.00012751939737712313
