Acton,POINT (51.5081 -0.278)
Aldgate,POINT (51.5135 -0.0751)
Anerley,POINT (51.4121 -0.0657)
Balham,POINT (51.4423 -0.1527)
Battersea,POINT (51.4646 -0.1647)
Bayswater,POINT (51.5112 -0.1872)
Beckenham,POINT (51.4088 -0.0252)
Belgravia,POINT (51.4939 -0.1513)
Bermondsey,POINT (51.4952 -0.0731)
Bethnal Green,POINT (51.5273 -0.063)
Bexley,POINT (51.4416 0.1487)
Blackheath,POINT (51.4676 0.0086)
Bloomsbury,POINT (51.521 -0.1254)
Borough,POINT (51.5014 -0.0931)
Brentford,POINT (51.4865 -0.3081)
Brixton,POINT (51.4627 -0.1151)
Brockley,POINT (51.4646 -0.0362)
Bromley,POINT (51.406 0.0132)
Camberwell,POINT (51.4746 -0.0926)
Camden,POINT (51.5416 -0.1433)
Catford,POINT (51.4452 -0.0209)
Charlton,POINT (51.4868 0.0355)
Chelsea,POINT (51.4875 -0.1698)
Chingford,POINT (51.6336 0.0105)
Chiswick,POINT (51.4911 -0.254)
Clapham,POINT (51.4626 -0.1383)
Clerkenwell,POINT (51.5255 -0.1084)
Covent Garden,POINT (51.5129 -0.1246)
Cricklewood,POINT (51.5597 -0.2112)
Croydon,POINT (51.3724 -0.0978)
Dagenham,POINT (51.5408 0.148)
Dalston,POINT (51.545 -0.0728)
Deptford,POINT (51.4793 -0.026)
Ealing,POINT (51.5133 -0.3089)
Earls Court,POINT (51.4914 -0.1931)
East Ham,POINT (51.5321 0.0554)
Edgware,POINT (51.6148 -0.2752)
Elephant and Castle,POINT (51.4944 -0.1004)
Eltham,POINT (51.45 0.0542)
Enfield,POINT (51.6521 -0.0815)
Euston,POINT (51.5286 -0.1337)
Finchley,POINT (51.6 -0.1928)
Finsbury Park,POINT (51.5646 -0.1052)
Fulham,POINT (51.475 -0.2032)
Golders Green,POINT (51.5725 -0.1949)
Greenwich,POINT (51.4821 -0.0048)
Hackney,POINT (51.5465 -0.0611)
Hammersmith,POINT (51.4927 -0.2234)
Hampstead,POINT (51.5567 -0.1781)
Hampton,POINT (51.4146 -0.3598)
Hanwell,POINT (51.5124 -0.3384)
Haringey,POINT (51.5906 -0.1114)
Harrow,POINT (51.58 -0.3411)
Hayes,POINT (51.5148 -0.4165)
Hendon,POINT (51.5825 -0.2285)
Herne Hill,POINT (51.453 -0.0944)
Highbury,POINT (51.55 -0.0977)
Highgate,POINT (51.5772 -0.1444)
Hillingdon,POINT (51.5333 -0.4533)
Holborn,POINT (51.5176 -0.1183)
Holland Park,POINT (51.5064 -0.2051)
Holloway,POINT (51.5521 -0.1143)
Homerton,POINT (51.5497 -0.0333)
Hornchurch,POINT (51.5547 0.2168)
Hornsey,POINT (51.5865 -0.1162)
Ilford,POINT (51.5588 0.0758)
Isle of Dogs,POINT (51.4963 -0.0147)
Isleworth,POINT (51.4747 -0.3364)
Islington,POINT (51.538 -0.1044)
Kennington,POINT (51.4878 -0.105)
Kensington,POINT (51.5013 -0.1911)
Kentish Town,POINT (51.5503 -0.14)
Kilburn,POINT (51.543 -0.1995)
King's Cross,POINT (51.5308 -0.1237)
Kingsbury,POINT (51.584 -0.2785)
Kingston upon Thames,POINT (51.4123 -0.3007)
Knightsbridge,POINT (51.5014 -0.1606)
Ladbroke Grove,POINT (51.5174 -0.21)
Lambeth,POINT (51.4881 -0.1133)
Lee,POINT (51.4494 0.0132)
Lewisham,POINT (51.4613 -0.0106)
Leyton,POINT (51.5569 -0.0057)
Leytonstone,POINT (51.5685 0.0082)
Limehouse,POINT (51.5128 -0.0377)
Maida Vale,POINT (51.5296 -0.1851)
Manor Park,POINT (51.5523 0.0456)
